Light Lager
Pilsner
European Amber Lager
Dark Lager
Bock
Light Hybrid Beer
Amber Hybrid Beer
English Pale Ale
Scottish and Irish Ale
American Ale
English Brown Ale
Porter
Stout
India Pale Ale (IPA)
German Wheat and Rye Beer
Belgian and French Ale
Belgian Strong Ale
Strong Ale
Sour Ale
Fruit Beer
Spice / Herb / Vegetable Beer
Smoke-Flavored and Wood-Aged Beer
Specialty Beer
